,month,miles
0,2004-01-01,2267
1,2004-02-01,2196
2,2004-03-01,2562
3,2004-04-01,2633
4,2004-05-01,2749
5,2004-06-01,2701
6,2004-07-01,2823
7,2004-08-01,2846
8,2004-09-01,2724
9,2004-10-01,2848
10,2004-11-01,2593
11,2004-12-01,2667
12,2005-01-01,2336
13,2005-02-01,2257
14,2005-03-01,2566
15,2005-04-01,2619
16,2005-05-01,2820
17,2005-06-01,2784
18,2005-07-01,2807
19,2005-08-01,2813
20,2005-09-01,2585
21,2005-10-01,2638
22,2005-11-01,2584
23,2005-12-01,2569
24,2006-01-01,2367
25,2006-02-01,2223
26,2006-03-01,2567
27,2006-04-01,2533
28,2006-05-01,2705
29,2006-06-01,2651
30,2006-07-01,2746
31,2006-08-01,2749
32,2006-09-01,2574
33,2006-10-01,2730
34,2006-11-01,2584
35,2006-12-01,2666
36,2007-01-01,-1
37,2007-02-01,-1
38,2007-03-01,-1
39,2007-04-01,2547
40,2007-05-01,2832
41,2007-06-01,2728
42,2007-07-01,2799
43,2007-08-01,2852
44,2007-09-01,2620
45,2007-10-01,2792
46,2007-11-01,2589
47,2007-12-01,2520
48,2008-01-01,2453
49,2008-02-01,2201
50,2008-03-01,2544
51,2008-04-01,2588
52,2008-05-01,2783
53,2008-06-01,2644
54,2008-07-01,2764
55,2008-08-01,2747
56,2008-09-01,2520
57,2008-10-01,2769
58,2008-11-01,2517
59,2008-12-01,2538
60,2009-01-01,2322
61,2009-02-01,2258
62,2009-03-01,2409
63,2009-04-01,2474
64,2009-05-01,2784
65,2009-06-01,2678
66,2009-07-01,2828
67,2009-08-01,2788
68,2009-09-01,2623
69,2009-10-01,2778
70,2009-11-01,2580
71,2009-12-01,2587
72,2010-01-01,2446
73,2010-02-01,2221
74,2010-03-01,2566
75,2010-04-01,2569
76,2010-05-01,2874
77,2010-06-01,2789
78,2010-07-01,2925
79,2010-08-01,2901
80,2010-09-01,2712
81,2010-10-01,2885
82,2010-11-01,2679
83,2010-12-01,2606
84,2011-01-01,2248
85,2011-02-01,2180
86,2011-03-01,2523
87,2011-04-01,2487
88,2011-05-01,2776
89,2011-06-01,2744
90,2011-07-01,2854
91,2011-08-01,2758
92,2011-09-01,2670
93,2011-10-01,2800
94,2011-11-01,2679
95,2011-12-01,2706
96,2012-01-01,2361
97,2012-02-01,2247
98,2012-03-01,2480
99,2012-04-01,2452
100,2012-05-01,2770
101,2012-06-01,2678
102,2012-07-01,2746
103,2012-08-01,2789
104,2012-09-01,2556
105,2012-10-01,2679
106,2012-11-01,2572
107,2012-12-01,2534
108,2013-01-01,2411
109,2013-02-01,2081
110,2013-03-01,2460
111,2013-04-01,2497
112,2013-05-01,2827
113,2013-06-01,2708
114,2013-07-01,2822
115,2013-08-01,2852
116,2013-09-01,2629
117,2013-10-01,2836
118,2013-11-01,2599
119,2013-12-01,2534
120,2014-01-01,2328
121,2014-02-01,2087
122,2014-03-01,2453
123,2014-04-01,2501
124,2014-05-01,2847
125,2014-06-01,2745
126,2014-07-01,2845
127,2014-08-01,2829
128,2014-09-01,2672
129,2014-10-01,2866
130,2014-11-01,2586
131,2014-12-01,2637
132,2015-01-01,2269
133,2015-02-01,2077
134,2015-03-01,2397
135,2015-04-01,2508
136,2015-05-01,2853
137,2015-06-01,2738
138,2015-07-01,2880
139,2015-08-01,2813
140,2015-09-01,2672
141,2015-10-01,2847
142,2015-11-01,2639
143,2015-12-01,2556
144,2016-01-01,2417
145,2016-02-01,2265
146,2016-03-01,2593
147,2016-04-01,2538
148,2016-05-01,2857
149,2016-06-01,2813
150,2016-07-01,2872
151,2016-08-01,2876
152,2016-09-01,2695
